Id,Prediction
1,1
2,1
3,1
4,0
5,0
6,1
7,0
8,1
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,0
33,0
34,0
35,1
36,0
37,1
38,1
39,0
40,1
41,0
42,0
43,0
44,0
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,0
53,1
54,1
55,1
56,0
57,1
58,0
59,0
60,0
61,1
62,1
63,1
64,1
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,0
75,1
76,1
77,1
78,1
79,0
80,0
81,0
82,1
83,1
84,1
85,1
86,0
87,0
88,1
89,1
90,0
91,0
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,0
100,1
101,0
102,0
103,1
104,1
105,0
106,1
107,1
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,1
116,0
117,0
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,1
131,1
132,0
133,0
134,1
135,0
136,0
137,1
138,0
139,1
140,1
141,0
142,0
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,0
151,0
152,1
153,1
154,0
155,1
156,0
157,1
158,1
159,0
160,1
161,1
162,0
163,1
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,1
175,1
176,0
177,1
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,0
186,1
187,0
188,1
189,1
190,0
191,0
192,0
193,1
194,1
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,1
203,0
204,1
205,1
206,1
207,0
208,1
209,0
210,1
211,1
212,1
213,1
214,1
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,1
226,1
227,0
228,1
229,0
230,0
231,0
232,1
233,1
234,0
235,0
236,0
237,1
238,0
239,1
240,0
241,0
242,0
243,1
244,0
245,1
246,0
247,1
248,1
249,1
250,1
251,0
252,1
253,1
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,0
264,1
265,1
266,0
267,0
268,0
269,0
270,0
271,1
272,0
273,1
274,1
275,1
276,0
277,1
278,1
279,1
280,1
281,1
282,0
283,1
284,0
285,1
286,1
287,1
288,0
289,0
290,1
291,1
292,0
293,1
294,1
295,1
296,0
297,0
298,1
299,0
300,1
301,0
302,0
303,1
304,0
305,0
306,0
307,0
308,1
309,1
310,0
311,0
312,1
313,0
314,1
315,1
316,0
317,0
318,0
319,0
320,0
321,1
322,1
323,1
324,0
325,0
326,1
327,1
328,1
329,0
330,0
331,0
332,1
333,1
334,0
335,0
336,1
337,1
338,0
339,0
340,0
341,1
342,0
343,0
344,1
345,0
346,1
347,1
348,1
349,1
350,1
351,0
352,1
353,0
354,0
355,1
356,1
357,0
358,0
359,0
360,0
361,1
362,1
363,0
364,1
365,0
366,0
367,1
368,0
369,0
370,1
371,1
372,0
373,0
374,1
375,1
376,0
377,1
378,0
379,1
380,1
381,0
382,1
383,1
384,0
385,1
386,1
387,0
388,0
389,0
390,0
391,1
392,1
393,0
394,0
395,1
396,1
397,0
398,1
399,1
400,1
401,0
402,1
403,0
404,0
405,1
406,0
407,1
408,1
409,0
410,1
411,0
412,1
413,1
414,1
415,1
416,0
417,1
418,1
419,1
420,1
421,0
422,0
423,0
424,1
425,1
426,1
427,0
428,0
429,0
430,1
431,0
432,1
433,1
434,0
435,1
436,0
437,1
438,1
439,0
440,1
441,0
442,1
443,1
444,1
445,0
446,0
447,0
448,0
449,1
450,1
451,1
452,1
453,1
454,0
455,0
456,0
457,0
458,1
459,1
460,1
461,0
462,0
463,0
464,1
465,1
466,1
467,1
468,0
469,1
470,0
471,0
472,1
473,0
474,1
475,1
476,1
477,0
478,1
479,0
480,0
481,1
482,0
483,1
484,1
485,1
486,0
487,0
488,1
489,1
490,1
491,1
492,1
493,0
494,0
495,1
496,1
497,1
498,1
499,1
500,1
501,0
502,0
503,1
504,1
505,0
506,0
507,1
508,0
509,0
510,1
511,0
512,1
513,0
514,0
515,1
516,0
517,0
518,1
519,0
520,0
521,0
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,0
532,1
533,0
534,0
535,1
536,1
537,1
538,1
539,1
540,1
541,0
542,1
543,1
544,0
545,1
546,1
547,1
548,1
549,0
550,0
551,1
552,1
553,0
554,1
555,1
556,1
557,1
558,0
559,1
560,0
561,0
562,0
563,1
564,0
565,1
566,0
567,0
568,0
569,1
570,1
571,1
572,0
573,1
574,0
575,0
576,1
577,1
578,1
579,0
580,1
581,0
582,1
583,1
584,1
585,0
586,1
587,1
588,1
589,1
590,0
591,1
592,1
593,0
594,0
595,0
596,1
597,0
598,1
599,0
600,1
601,1
